"URN","SCHNAME","TOWN","Postcode","ATT8SCR","NUMBOYS","NUMGIRLS","P8MEA","shortPostcode","District","County"
135176,"Oasis Academy Immingham","Immingham","DN401JU",39.2,"326","280",-0.38,"DN40","DONCASTER","SOUTH YORKSHIRE"
135209,"Oasis Academy Wintringham","Grimsby","DN320AZ",36.5,"467","416",-0.68,"DN32","DONCASTER","SOUTH YORKSHIRE"
148167,"Holy Family Catholic High School, A Voluntary Academy","Goole","DN149NS",39.8,"163","151",-0.55,"DN14","DONCASTER","SOUTH YORKSHIRE"
121689,"Settle College","Settle","BD240AU",42.4,"322","279",-0.05,"BD24","BRADFORD","WEST YORKSHIRE"
145819,"Sherburn High School","Leeds","LS256AS",51.3,"431","426",0.51,"LS25","LEEDS","WEST YORKSHIRE"
141179,"The Skipton Academy","Skipton","BD231UQ",37,"305","285",-0.62,"BD23","BRADFORD","WEST YORKSHIRE"
136736,"South Craven School","Keighley","BD207RL",46.5,"927","947",0.2,"BD20","BRADFORD","WEST YORKSHIRE"
145777,"Tadcaster Grammar School","Tadcaster","LS249NB",51.7,"782","730",0.27,"LS24","LEEDS","WEST YORKSHIRE"
121690,"Upper Wharfedale School","Skipton","BD235BS",45.6,"194","170",0.6,"BD23","BRADFORD","WEST YORKSHIRE"
144533,"Granville Academy","Swadlincote","DE117JR",47.5,"464","425",0.24,"DE11","SHEFFIELD","SOUTH YORKSHIRE"
149380,"Mercia Academy","Swadlincote","DE110TL",38,"309","274",-0.27,"DE11","SHEFFIELD","SOUTH YORKSHIRE"
144069,"The Pingle Academy","Swadlincote","DE110QA",42.3,"729","690",-0.11,"DE11","SHEFFIELD","SOUTH YORKSHIRE"
143734,"Derby Cathedral School","Derby","DE11LR",40.5,"497","509",-0.69,"DE11","SHEFFIELD","SOUTH YORKSHIRE"
137141,"Serlby Park Academy","Doncaster","DN118EF",42.5,"462","482",-0.22,"DN11","DONCASTER","SOUTH YORKSHIRE"
